impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K26-188041,A745651,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3063132,In Public Home,,Dog,Unknown<p/>,Male,Chihuahua - Smooth Coated,Unknown,"Apr 14, 2026",Date Found,Federal  Way Library,,,,FEDERAL WAY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3063132,Image Copyright HLP Inc. 2026,"Description: White and tan <p/>Age: Unknown<p/>Found Near: Federal way , Federal Way WA  98003<p/>Found Date: 2026-04-14<p/>",
K26-187310,A744100,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3050020,In Public Home,,Dog,Unknown<p/>,Male,Chihuahua - Smooth Coated,Unknown,"Mar 06, 2026",Date Found,LANGSTON  RD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3050020,Image Copyright HLP Inc. 2026,"Description: White coat tan ears and spots with a plaid harness<p/>Age: Unknown<p/>Found Near: Langston Rd, Renton WA  98057<p/>Found Date: 2026-03-06<p/>",
K26-187601,A744746,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3056019,LOST,Phoenix,Cat,Over 1 year<p/>,Male,American Wirehair,Brown,"Mar 22, 2026",Date Lost,GOSSARD  ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3056019,Image Copyright HLP Inc. 2026,"<p/>Age: Over 1 year<p/>Location Lost: Gossard st , Enumclaw WA  98022<p/>Lost Date: 2026-03-22<p/>",
K26-187637,A744827,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3056621,LOST,Pip,Cat,Under 1 year<p/>,Female,Domestic Shorthair,Black,"Mar 23, 2026",Date Lost,1100 block of  3rd Ave Bldg,,,,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3056621,Image Copyright HLP Inc. 2026,"Description: She is a small 9 month old, completely black DSH, spayed, her eyes appear milky, she could seem younger, scared<p/>Age: Under 1 year<p/>Location Lost: 3rd ave & Virginia st, Seattle WA  98121<p/>Lost Date: 2026-03-23<p/>",
K26-187293,A740290,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,Chestnut,Dog,2 YEARS 4 MONTHS,Neutered Male,Pit Bull,Gray / White,"Dec 02, 2025",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A740290,Image Copyright HLP Inc. 2026,"Received on: 2025-12-02<p/> Description: Gray / White Neutered Male Pit Bull Dog<p/> Age: 2 YEARS 4 MONTHS<p/> Adoption Fee: $50.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Chestnut and I am available for adoption.<p/><p/>I was abandoned at the shelter December 2, 2025.<p/><p/>I weigh 78.0 lbs and am considered a ""large breed"" dog. I am quite chonky and would benefit from some weight loss. I LOVE going on walks and playing in the water so with some consistency and a healthy diet I will be at a healthy weight in no time!<p/><p/>I am an affectionate lovebug who would be thrilled to hang out with you at home once I get to know you! Since I can be unsure of new things and people at first, I would do best in a home without younger children or other animals.<p/><p/>I was in a foster home for a few months. My foster states that I am quite the couch potato and loves to share the bed with you at night.<p/><p/>I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>",
K26-188048,A745657,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3063228,LOST,Poe,Cat,Over 1 year<p/>,Male,American Shorthair,Black,"Apr 14, 2026",Date Lost,400 block of  27TH AVE E,Seattle,,98112,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3063228,Image Copyright HLP Inc. 2026,"<p/>Age: Over 1 year<p/>Location Lost: 442 27th Ave E, Seattle WA  98112<p/>Lost Date: 2026-04-14<p/>",
K26-187474,A744451,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3053452,LOST,Lefty,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,Unknown,"Mar 16, 2026",Date Lost,10000 block of  SE 242nd Pl,Kent,,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3053452,Image Copyright HLP Inc. 2026,"Description: My pet is cute he is friendly with adults but scared with babies. He has such a soft personality. I Lost him around third weeks of July 2025. I think he might sense that we are going to moved in different States so one day he went out to play and never come back. <p/>Age: Over 1 year<p/>Location Lost: 10015 Se 242Nd Pl Kent Wa, Kent WA  98030<p/>Lost Date: 2026-07-26<p/>",
K26-188056,A736755,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,Violet,Rabbit Sh,7 MONTHS,Spayed Female,Rabbit Sh,Fawn,"Sep 27, 2025",Received on,21615 64TH AVE S,KENT,WA,98032,ENUMCLAW,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A736755,Image Copyright HLP Inc. 2026,"Received on: 2025-09-27<p/> Description: Fawn Spayed Female Rabbit Sh Rabbit Sh<p/> Age: 7 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Violet and I am available for adoption.<p/><p/>I was brought to RASKC on September 27, 2025. I have been in a few wonderful foster homes until I was big enough for surgery, but now I am ready to find my forever family :)<p/><p/>My foster says this about me, ""Violet is a gentle, curious and interactive bunny! Once she trusts her environment and you - which might take a short 1-2 days - she is delighted to have your company, happy to explore you like a human climbing gym and is generous with 'bunny kisses'. <p/><p/>Violet is young and needs room for her super cute zoomies and binkies. She likes toys, treats and playing her blanket. She is getting used to being in one place to enjoy being pet, but as a young bun, she is often in motion when interacting. Like most bunnies, she does NOT like being picked up and cuddled. Violet is therefore only suitable for older kids who know how to be gentle, predictable and respectful. Already litter trained with no mistakes, Violet would make a rewarding pet for a human or family who would like to spend time with her, or as a companion for another gentle bunny.""<p/><p/>If you would like to meet me please fill out a foster interest form!<p/><p/>Heres a cute video of me: https://youtu.be/6mPSGNNwe8o<p/>",
K26-187583,A744711,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3055660,LOST,Rowdy,Dog,Over 1 year<p/>,Male,Border Collie,Black,"Mar 22, 2026",Date Lost,BRIDLEWOOD  CIR,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3055660,Image Copyright HLP Inc. 2026,"<p/>Age: Over 1 year<p/>Location Lost: Bridlewood cir, Bellevue WA  98008<p/>Lost Date: 2026-03-22<p/>",
K26-188079,A745725,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3063741,In Public Home,,Cat,Under 1 year<p/>,Male,American Curl Longhair,Unknown,"Apr 01, 2026",Date Found,CAN’T  REMEMBER,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3063741,Image Copyright HLP Inc. 2026,"Description: Orange cat<p/>Age: Under 1 year<p/>Found Near: Can’t remember , Auburn WA  98002<p/>Found Date: 2026-04-01<p/>",
